"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","24.0%","24.0%","","","","","optr_gcc_exp_f64"
"0","21.7%","89.1%","67.4%","","","","transport_photon_particle_pass(Photon&, Mesh const&, RNG*, double&, double&, double&, std::vector<double, std::allocator<double"
"0","18.6%","18.6%","","","","","optr_ac_log_f64"
"0","5.0%","5.0%","","","","","threefry2x64_R(unsigned int, r123array2x64, r123array2x64) [inlined]"
"0","4.2%","4.2%","","","","","cos"
"0","2.8%","2.8%","","","","","(anonymous namespace)::_ran(unsigned long*) [inlined]"
"0","2.8%","2.8%","","","","","std::__introsort_loop<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon"
"0","2.6%","2.6%","","","","","sin"
"0","1.9%","1.9%","","","","","log@plt"
"0","1.9%","1.9%","","","","","Cell::get_f() const [inlined]"
"0","1.7%","1.7%","","","","","Mesh::get_on_rank_cell(unsigned int) const [inlined]"
"0","1.3%","1.3%","","","","","Mesh::get_on_rank_cell(unsigned int) const [inlined]"
"0","1.3%","1.3%","","","","","Cell::get_distance_to_boundary(double const*, double const*, unsigned int&) const [inlined]"
"0","1.3%","5.3%","4.0%","","","","Source::get_photon(RNG*, double const&)"
"0","1.0%","1.0%","","","","","get_uniform_angle(double*, RNG*) [inlined]"
"0","0.7%","1.0%","0.3%","","","","sample_emission_group(RNG*, Cell const&) [inlined]"
"0","0.7%","0.7%","","","","","std::_Construct<Photon, Photon>(Photon*, Photon&&) [inlined]"
"0","0.5%","99.5%","99.0%","","","","replicated_transport(Source&, Mesh const&, IMC_State&, std::vector<double, std::allocator<double"
"0","0.5%","0.5%","","","","","r123array2x64::incr(unsigned long long) [inlined]"
"0","0.5%","0.5%","","","","","Cell::get_op_a(unsigned int) const [inlined]"
"0","0.5%","0.5%","","","","","Photon::move(double) [inlined]"
"0","0.5%","0.5%","","","","","__gnu_cxx::new_allocator<Photon>::construct<Photon, Photon const&>(Photon*, Photon const&) [inlined]"
"0","0.4%","0.4%","","","","","sgn<double>(double) [inlined]"
"0","0.4%","0.4%","","","","","Cell::Cell() [inlined]"
"0","0.4%","0.4%","","","","","get_uniform_angle(double*, RNG*) [inlined]"
"0","0.4%","0.4%","","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Val_less_iter) [inlined]"
"0","0.3%","0.3%","","","","","r123::u01fixedpt<double, unsigned long>(unsigned long) [inlined]"
"0","0.3%","0.3%","","","","","std::vector<double, std::allocator<double> >::operator[](unsigned long) [inlined]"
"0","0.3%","3.7%","3.4%","","","","Source::get_emission_photon(Photon&, Work_Packet&, double const&, double const&, RNG*)"
"0","0.2%","0.2%","","","","","Mesh::on_processor(unsigned int const&) const [inlined]"
"0","0.2%","9.0%","8.8%","","","","get_uniform_angle(double*, RNG*) [inlined]"
"0","0.2%","0.2%","","","","","syscall"
"0","0.1%","0.1%","","","","","exp@plt"
"0","0.1%","0.1%","","","","","Photon::below_cutoff(double) const [inlined]"
"0","0.1%","0.1%","","","","","Photon::get_distance_remaining() const [inlined]"
"0","0.1%","1.1%","1.0%","","","","Work_Packet::uniform_position_in_cell(RNG*, double*) const [inlined]"
"0","0.1%","0.1%","","","","","Photon::set_angle(double const*) [inlined]"
"0","0.1%","0.1%","","","","","std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Photon*>, Photon*>(std::move_iterator<Photon*>, std::move_iterator<Photon*>, Photon*) [inlined]"
"0","0.1%","0.1%","","","","","Photon::get_cell() const [inlined]"
"0","0.1%","0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","0.1%","0.1%","","","","","Photon::get_E() const [inlined]"
"0","<0.1%","99.9%","99.9%","","","","main(int, char**)"
"0","<0.1%","99.9%","99.9%","","","","imc_replicated_driver(Mesh&, IMC_State&, IMC_Parameters const&, MPI_Types const&, Info const&)"
"0","<0.1%","8.6%","8.6%","","","","RNG::generate_random_number() const"
"0","<0.1%","5.8%","5.8%","","","","(anonymous namespace)::_ran(unsigned long*)"
"0","<0.1%","5.0%","5.0%","","","","r123::Threefry2x64_R<20u>::operator()(r123array2x64, r123array2x64)"
"0","<0.1%","0.2%","0.2%","","","","Mesh::get_on_rank_cell(unsigned int) const"
"0","<0.1%","0.4%","0.4%","","","","Cell::get_distance_to_boundary(double const*, double const*, unsigned int&) const"
"0","<0.1%","0.4%","0.4%","","","","Source::get_initial_census_photon(Photon&, Work_Packet&, double const&, double const&, RNG*)"
"0","<0.1%","1.4%","1.4%","","","","std::vector<Photon, std::allocator<Photon"
"0","<0.1%","0.9%","0.9%","","","","std::vector<Photon, std::allocator<Photon> >::_M_realloc_insert<Photon const&>(__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, Photon const&)"
"0","<0.1%","0.8%","0.8%","","","","std::__uninitialized_move_if_noexcept_a<Photon*, Photon*, std::allocator<Photon> >(Photon*, Photon*, Photon*, std::allocator<Photon>&)"
"0","<0.1%","0.8%","0.8%","","","","std::__uninitialized_copy_a<std::move_iterator<Photon*>, Photon*, Photon>(std::move_iterator<Photon*>, std::move_iterator<Photon*>, Photon*, std::allocator<Photon>&)"
"0","<0.1%","0.8%","0.8%","","","","std::uninitialized_copy<std::move_iterator<Photon*>, Photon*>(std::move_iterator<Photon*>, std::move_iterator<Photon*>, Photon*)"
"0","<0.1%","0.7%","0.7%","","","","std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Photon*>, Photon*>(std::move_iterator<Photon*>, std::move_iterator<Photon*>, Photon*)"
"0","<0.1%","0.2%","0.2%","","","","std::_Vector_base<Photon, std::allocator<Photon> >::_M_deallocate(Photon*, unsigned long)"
"0","<0.1%","0.2%","0.2%","","","","std::allocator_traits<std::allocator<Photon> >::deallocate(std::allocator<Photon>&, Photon*, unsigned long)"
"0","<0.1%","0.2%","0.2%","","","","__gnu_cxx::new_allocator<Photon>::deallocate(Photon*, unsigned long) [inlined]"
"0","<0.1%","0.2%","0.2%","","","","ofi_intercept_munmap"
"0","<0.1%","0.5%","0.5%","","","","std::allocator_traits<std::allocator<Photon> >::construct<Photon, Photon const&>(std::allocator<Photon>&, Photon*, Photon const&)"
"0","<0.1%","3.2%","3.2%","","","","std::sort<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > > >(__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >)"
"0","<0.1%","2.8%","2.8%","","","","std::__sort<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Iter_less_iter)"
