"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","21.9%","72.6%","50.7%","","","","transport_photon_particle_pass(Photon&, Mesh const&, RNG*, double&, double&, double&, std::vector<double, std::allocator<double"
"0","17.0%","17.0%","","","","","Mesh::get_on_rank_cell(unsigned int) const [inlined]"
"0","10.9%","10.9%","","","","","optr_gcc_exp_f64"
"0","8.0%","8.0%","","","","","optr_ac_log_f64"
"0","5.8%","5.8%","<0.1%","","","","std::__introsort_loop<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon"
"0","4.5%","4.5%","","","","","Mesh::get_on_rank_cell(unsigned int) const [inlined]"
"0","3.0%","3.0%","","","","","syscall"
"0","2.4%","2.4%","","","","","threefry2x64_R(unsigned int, r123array2x64, r123array2x64) [inlined]"
"0","1.6%","1.6%","<0.1%","","","","cos"
"0","1.2%","1.2%","","1.2%","","","MPI_Barrier"
"0","1.1%","3.5%","2.4%","","","","Source::get_photon(RNG*, double const&)"
"0","1.0%","1.0%","","","","","Work_Packet::get_global_cell_ID() const [inlined]"
"0","1.0%","1.0%","","","","","Cell::get_f() const [inlined]"
"0","0.9%","0.9%","","","","","_ZSt4swapI11Work_PacketENSt9enable_ifIXsr6__and_ISt6__not_ISt15__is_tuple_likeIT_EESt21is_move_constructibleIS4_ESt18is_move_assignableIS4_EEE5valueEvE4typeERS4_SD_ [inlined]"
"0","0.9%","0.9%","","","","","std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false> const*, unsigned long) const [inlined]"
"0","0.9%","0.9%","","","","","malloc_consolidate"
"0","0.8%","0.8%","","","","","Cell::get_distance_to_boundary(double const*, double const*, unsigned int&) const [inlined]"
"0","0.8%","0.8%","","","","","(anonymous namespace)::_ran(unsigned long*) [inlined]"
"0","0.8%","0.8%","<0.1%","","","","sin"
"0","0.7%","0.7%","","","","","log@plt"
"0","0.6%","0.6%","","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Val_less_iter) [inlined]"
"0","0.5%","0.5%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","0.5%","0.5%","","","","","Cell::get_op_a(unsigned int) const [inlined]"
"0","0.4%","0.4%","","","","","std::equal_to<unsigned int>::operator()(unsigned int const&, unsigned int const&) const [inlined]"
"0","0.4%","0.4%","","","","","std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false>::_M_next() const [inlined]"
"0","0.4%","0.8%","0.3%","","","","Work_Packet::uniform_position_in_cell(RNG*, double*) const [inlined]"
"0","0.4%","0.4%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","0.4%","0.4%","","","","","get_uniform_angle(double*, RNG*) [inlined]"
"0","0.4%","0.4%","","","","","r123::u01fixedpt<double, unsigned long>(unsigned long) [inlined]"
"0","0.4%","0.5%","<0.1%","","","","sample_emission_group(RNG*, Cell const&) [inlined]"
