"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","20.1%","20.1%","","","","","__memcpy_simd"
"0","16.1%","73.2%","57.2%","","","","transport_photon_particle_pass(Photon&, Mesh const&, RNG*, double&, double&, double&, std::vector<double, std::allocator<double"
"0","10.5%","10.5%","","","","","__log_finite"
"0","6.2%","6.2%","","","","","log"
"0","5.2%","5.2%","","","","","Cell::get_distance_to_boundary(double const*, double const*, unsigned int&) const [inlined]"
"0","5.0%","5.0%","","","","","__exp_finite"
"0","4.0%","9.0%","5.0%","","","","exp"
"0","2.8%","2.8%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Iter_less_iter) [inlined]"
"0","2.6%","2.6%","","","","","transport_photon_particle_pass(Photon&, Mesh const&, RNG*, double&, double&, double&, std::vector<double, std::allocator<double"
"0","2.4%","2.4%","","","","","syscall"
"0","2.1%","2.1%","<0.1%","","","","sincos"
"0","2.1%","2.1%","","","","","threefry2x64_R [inlined]"
"0","1.9%","1.9%","","1.9%","","","MPI_Barrier"
"0","1.3%","1.3%","","","","","std::swap<Photon>(Photon&, Photon&) [inlined]"
"0","0.8%","0.8%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >, __gnu_cxx::__ops::_Iter_less_iter) [inlined]"
"0","0.7%","0.7%","","","","","log@plt"
"0","0.7%","3.4%","2.7%","","","","RNG::generate_random_number() const [inlined]"
"0","0.7%","2.4%","1.8%","","","","Source::get_photon(RNG*, double const&)"
"0","0.7%","0.7%","","","","","std::hash<unsigned int>::operator()(unsigned int) const [inlined]"
"0","0.6%","0.6%","","","","","malloc_consolidate"
"0","0.6%","0.6%","","","","","std::swap<Work_Packet>(Work_Packet&, Work_Packet&) [inlined]"
"0","0.6%","0.6%","","","","","Work_Local_Map::operator()(Work_Packet const&, Work_Packet const&) [inlined]"
"0","0.6%","17.3%","16.8%","","","","Mesh::get_on_rank_cell(unsigned int) const [inlined]"
"0","0.5%","0.5%","","","","","__gnu_cxx::new_allocator<Photon>::construct<Photon, Photon>(Photon*, Photon&&) [inlined]"
"0","0.4%","0.5%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","0.4%","0.4%","","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon"
"0","0.4%","0.4%","","","","","__gnu_cxx::new_allocator<Photon>::construct<Photon, Photon const&>(Photon*, Photon const&) [inlined]"
"0","0.4%","0.4%","","0.4%","","","MPI_Allreduce"
"0","0.4%","0.4%","","","","","std::equal_to<unsigned int>::operator()(unsigned int const&, unsigned int const&) const [inlined]"
"0","0.4%","0.4%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","0.3%","0.3%","","","","","std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false>::_M_next() const [inlined]"
"0","0.3%","2.7%","2.3%","","","","(anonymous namespace)::_ran(r123array2x64::value_type*)"
"0","0.3%","0.3%","","","","","Work_Packet::uniform_position_in_cell(RNG*, double*) const [inlined]"
"0","0.3%","0.3%","","","","","__gnu_cxx::new_allocator<Work_Packet>::construct<Work_Packet, Work_Packet>(Work_Packet*, Work_Packet&&) [inlined]"
"0","0.3%","0.5%","0.2%","","","","__pow_finite"
"0","0.3%","0.3%","","","","","exp@plt"
"0","0.3%","2.4%","2.1%","","","","get_uniform_angle(double*, RNG*) [inlined]"
"0","0.2%","0.2%","","","","","__exp1"
"0","0.2%","0.2%","","","","","r123::u01fixedpt<double, unsigned long> [inlined]"
"0","0.2%","0.2%","","","","","get_photon_list_E(std::vector<Photon, std::allocator<Photon> > const&) [inlined]"
"0","0.2%","1.1%","0.9%","","","","_int_free"
"0","0.2%","0.2%","<0.1%","","","","libmetis__Greedy_KWayCutOptimize"
"0","0.2%","0.2%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_less_iter) [inlined]"
"0","0.2%","87.1%","86.9%","1.8%","","","replicated_transport(Source&, Mesh const&, IMC_State&, std::vector<double, std::allocator<double"
"0","0.2%","0.2%","","","","","__aarch64_swp4_rel"
"0","0.2%","0.2%","","","","","Photon::move(double) [inlined]"
"0","0.2%","0.2%","","","","","Work_Packet::attach_census_work(unsigned int, unsigned int) [inlined]"
"0","0.2%","0.2%","","","","","memcpy@plt"
"0","0.2%","0.2%","","","","","Work_Packet::get_global_cell_ID() const [inlined]"
"0","0.1%","0.2%","<0.1%","","","","_int_malloc"
"0","0.1%","0.1%","","","","","Work_Packet::set_coor(double const*) [inlined]"
"0","0.1%","0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>) [inlined]"
"0","0.1%","0.1%","","","","","Photon::get_cell() const [inlined]"
"0","0.1%","0.1%","","","","","Mesh::on_processor(unsigned int const&) const [inlined]"
"0","0.1%","0.1%","","","","","Photon::get_distance_remaining() const [inlined]"
"0","0.1%","0.1%","","","","","__gnu_cxx::new_allocator<Work_Packet>::construct<Work_Packet, Work_Packet const&>(Work_Packet*, Work_Packet const&) [inlined]"
"0","0.1%","0.3%","0.2%","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet"
"0","0.1%","0.1%","","","","","Cell::get_volume() const [inlined]"
"0","0.1%","0.1%","","","","","libmetis__CreateCoarseGraph"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, bool>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned int const&) const [inlined]"
"0","<0.1%","0.9%","0.8%","","","","std::vector<Photon, std::allocator<Photon> >::push_back(Photon const&) [inlined]"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Waitall"
"0","<0.1%","<0.1%","","","","","Photon::set_E(double) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__relocate_a_1<Photon*, Photon*, std::allocator<Photon> >(Photon*, Photon*, Photon*, std::allocator<Photon>&) [inlined]"
"0","<0.1%","0.5%","0.4%","","","","malloc"
"0","<0.1%","<0.1%","","","","","__aarch64_cas8_rel"
"0","<0.1%","<0.1%","","","","","Work_Packet::set_global_cell_ID(unsigned int const&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, bool>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned int const&, unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false>*) const [inlined]"
"0","<0.1%","0.2%","<0.1%","","","","Mesh::update_temperature(std::vector<double, std::allocator<double"
"0","<0.1%","<0.1%","","","","","Work_Packet::get_photon_E() const [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Cell::sort_grip_ID(Proto_Cell const&, Proto_Cell const&)"
"0","<0.1%","<0.1%","","","","","Source::post_lb_prepare_source()"
