"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","53.7%","73.3%","19.7%","","","","transport_photon_particle_pass(Photon&, Mesh&, RNG*, double&, double&, double&, _ZSt6vectorIdSaIdEE&, _ZSt6vectorIdSaIdEE&)"
"0","7.6%","7.6%","","","","","__fd_exp_1"
"0","7.2%","7.2%","","","","","__fd_log_1_neon"
"0","5.5%","5.5%","","","","","std::__unguarded_partition_pivot [inlined]"
"0","2.7%","2.7%","","","","","syscall"
"0","2.1%","2.1%","","2.1%","","","MPI_Barrier(ompi_communicator_t*)"
"0","2.1%","2.1%","","","","","threefry2x64_R [inlined]"
"0","1.5%","1.5%","","","","","__uninit_copy [inlined]"
"0","1.5%","1.5%","","","","","__fd_exp_1_neon"
"0","1.0%","2.5%","1.5%","","","","Source::get_photon(RNG*, double*)"
"0","0.9%","1.7%","0.8%","","","","Work_Local_Map::operator()(Work_Packet*, Work_Packet*)"
"0","0.9%","0.9%","<0.1%","","","","_ZSt10_HashtableIjSt4pairIKjjESaIS2_ENSt8__detail10_Select1stESt8equal_toIjESt4hashIjENS4_18_Mod_range_hashingENS4_20_Default_ranged_hashENS4_20_Prime_rehash_policyENS4_17_Hashtable_traitsILb0ELb0ELb1EEEE::_M_rehash_aux [inlined]"
"0","0.9%","2.4%","1.5%","","","","std::__introsort_loop(__gnu_cxx::__normal_iterator, __gnu_cxx::__normal_iterator, long, _ZN9__gnu_cxx5__ops15_Iter_comp_iterI14Work_Local_MapEE*)"
"0","0.8%","0.8%","","","","","malloc_consolidate"
"0","0.8%","85.5%","84.7%","2.0%","","","replicated_transport(Source&, Mesh&, IMC_State&, _ZSt6vectorIdSaIdEE&, _ZSt6vectorIdSaIdEE&)"
"0","0.8%","0.8%","","","","","_ZSt10_HashtableIjSt4pairIKjbESaIS2_ENSt8__detail10_Select1stESt8equal_toIjESt4hashIjENS4_18_Mod_range_hashingENS4_20_Default_ranged_hashENS4_20_Prime_rehash_policyENS4_17_Hashtable_traitsILb0ELb0ELb1EEEE::_M_find_before_node [inlined]"
"0","0.7%","0.7%","","","","","__fd_log_1"
"0","0.6%","0.6%","","","","","__fd_log_1@plt"
"0","0.6%","0.6%","","","","","_ZSt10_HashtableIjSt4pairIKjjESaIS2_ENSt8__detail10_Select1stESt8equal_toIjESt4hashIjENS4_18_Mod_range_hashingENS4_20_Default_ranged_hashENS4_20_Prime_rehash_policyENS4_17_Hashtable_traitsILb0ELb0ELb1EEEE::_M_find_before_node [inlined]"
"0","0.6%","6.0%","5.4%","","","","std::sort(_ZN9__gnu_cxx17__normal_iteratorIP6PhotonSt6vectorIS1_SaIS1_EEEE, _ZN9__gnu_cxx17__normal_iteratorIP6PhotonSt6vectorIS1_SaIS1_EEEE)"
"0","0.6%","1.0%","0.5%","","","","Source::Source(Mesh*, IMC_State*, unsigned long, double, std::vector*)"
"0","0.5%","0.5%","<0.1%","","","","Mesh::calculate_photon_energy(IMC_State*)"
"0","0.5%","0.7%","0.2%","","","","Work_Packet::uniform_position_in_cell(RNG*, double*)"
"0","0.3%","1.2%","0.8%","","","","get_uniform_angle(double*, RNG*)"
"0","0.3%","1.4%","1.0%","","","","_ZSt10_HashtableIjSt4pairIKjjESaIS2_ENSt8__detail10_Select1stESt8equal_toIjESt4hashIjENS4_18_Mod_range_hashingENS4_20_Default_ranged_hashENS4_20_Prime_rehash_policyENS4_17_Hashtable_traitsILb0ELb0ELb1EEEE::~_Hashtable [inlined]"
"0","0.3%","6.8%","6.5%","","","","Source::post_lb_prepare_source()"
"0","0.3%","0.3%","","","","","__fd_sincos_1_neon"
"0","0.3%","0.3%","","","","","Work_Packet::attach_census_work [inlined]"
"0","0.3%","1.4%","1.1%","","","","Source::get_emission_photon(Photon*, Work_Packet*, double*, double*, RNG*)"
"0","0.3%","0.3%","<0.1%","","","","Mesh::update_temperature(_ZSt6vectorIdSaIdEE*, _ZSt6vectorIdSaIdEE*, IMC_State*)"
"0","0.3%","96.9%","96.6%","2.2%","","","imc_replicated_driver(Mesh&, IMC_State&, IMC_Parameters&, MPI_Types&, Info&)"
"0","0.2%","0.3%","<0.1%","","","","libmetis__Greedy_KWayCutOptimize()"
"0","0.2%","0.2%","","0.2%","","","MPI_Allreduce(void*, void*, int, ompi_datatype_t*, ompi_op_t*, ompi_communicator_t*)"
"0","0.2%","0.2%","","","","","__aarch64_swp4_rel"
"0","0.2%","1.2%","1.0%","","","","_int_free"
"0","0.2%","0.2%","","","","","Work_Packet::get_global_cell_ID [inlined]"
"0","0.2%","2.7%","2.5%","","","","std::__sort(__gnu_cxx::__normal_iterator, __gnu_cxx::__normal_iterator, _ZN9__gnu_cxx5__ops15_Iter_comp_iterI14Work_Local_MapEE*)"
"0","0.1%","0.2%","<0.1%","","","","libmetis__CreateCoarseGraph()"
"0","0.1%","0.3%","0.1%","","","","libmetis__CoarsenGraph()"
"0","0.1%","0.1%","<0.1%","","","","_int_malloc"
"0","0.1%","0.1%","","","","","__aarch64_cas4_acq"
"0","0.1%","0.1%","","","","","Cell::Cell()"
"0","0.1%","0.1%","","0.1%","","","MPI_Waitall(int, ompi_request_t**, ompi_status_public_t*)"
"0","0.1%","0.1%","<0.1%","","","","_ZSt10_HashtableIjSt4pairIKjbESaIS2_ENSt8__detail10_Select1stESt8equal_toIjESt4hashIjENS4_18_Mod_range_hashingENS4_20_Default_ranged_hashENS4_20_Prime_rehash_policyENS4_17_Hashtable_traitsILb0ELb0ELb1EEEE::_M_rehash_aux [inlined]"
"0","<0.1%","<0.1%","","","","","__aarch64_cas8_rel"
"0","<0.1%","<0.1%","","","","","memset"
"0","<0.1%","0.2%","0.2%","","","","Proto_Mesh::add_mesh_cell [inlined]"
"0","<0.1%","<0.1%","","","","","free"
"0","<0.1%","0.5%","0.5%","","","","malloc"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Isend(void*, int, ompi_datatype_t*, int, int, ompi_communicator_t*, ompi_request_t**)"
"0","<0.1%","<0.1%","","","","","_ZSt10_HashtableIjjSaIjENSt8__detail9_IdentityESt8equal_toIjESt4hashIjENS1_18_Mod_range_hashingENS1_20_Default_ranged_hashENS1_20_Prime_rehash_policyENS1_17_Hashtable_traitsILb0ELb1ELb1EEEE::_M_find_node [inlined]"
"0","<0.1%","<0.1%","","","","","__fd_sincos_1@plt"
"0","<0.1%","<0.1%","","","","","__fd_sincos_1"
"0","<0.1%","<0.1%","","","","","Proto_Cell::sort_grip_ID(Proto_Cell&, Proto_Cell&)"
"0","<0.1%","<0.1%","","","","","__memcpy_simd"
"0","<0.1%","0.1%","<0.1%","","","","std::__introsort_loop(_ZN9__gnu_cxx17__normal_iteratorIP10Proto_CellSt6vectorIS1_SaIS1_EEEE, _ZN9__gnu_cxx17__normal_iteratorIP10Proto_CellSt6vectorIS1_SaIS1_EEEE, long, _ZN9__gnu_cxx5__ops15_Iter_comp_iterIPFbRK10Proto_CellS4_EEE)"
"0","<0.1%","2.1%","2.0%","0.2%","","","replicate_mesh(Proto_Mesh&, MPI_Types&, Info&, unsigned int&)"
"0","<0.1%","0.3%","0.3%","","","","libmetis__RefineKWay()"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Irecv(void*, int, ompi_datatype_t*, int, int, ompi_communicator_t*, ompi_request_t**)"
"0","<0.1%","0.3%","0.2%","","","","overdecompose_mesh(Proto_Mesh&, unsigned int)"
