"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","35.1%","35.1%","","","","","mfem::PAMassApply(int, int, int, int, mfem::Array<double"
"0","8.7%","19.1%","10.4%","","","","double mfem::kernels::CalcSingularvalue<3>(double const*, int)"
"0","8.5%","8.5%","","","","","mfem::ElementRestriction::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","7.0%","26.1%","19.1%","","","","void mfem::hydrodynamics::QUpdateBody<3>(int, int, int, int, bool, bool, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, double*, double*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double*, double*)"
"0","6.5%","6.5%","","","","","mfem::D2QGrad(mfem::FiniteElementSpace const&, mfem::DofToQuad const*, mfem::Vector const&, mfem::Vector&)"
"0","6.5%","6.5%","","","","","mfem::ElementRestriction::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","4.1%","4.1%","","","","","void mfem::hydrodynamics::ForceMult3D<3, 3, 4, 2>(int, mfem::Array<double"
"0","3.6%","4.8%","1.2%","","","","mfem::kernels::internal::KernelVector3S(int const&, double const&, double const&, double const&, double&, double&, double&)"
"0","3.0%","3.0%","","","","","void mfem::hydrodynamics::ForceMultTranspose3D<3, 3, 4, 2>(int, mfem::Array<double"
"0","2.5%","2.5%","","","","","mfem::add(mfem::Vector const&, double, mfem::Vector const&, mfem::Vector&)"
"0","2.5%","2.5%","","2.5%","","","MPI_Allreduce"
"0","2.0%","2.0%","","","","","mfem::Vector::operator*(mfem::Vector const&) const"
"0","1.9%","1.9%","","","","","__acos_finite"
"0","1.8%","1.8%","","","","","cos"
"0","0.9%","1.2%","0.3%","","","","mfem::kernels::internal::Reduce3S(int const&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&)"
"0","0.7%","1.4%","0.7%","","","","hypot"
"0","0.7%","0.7%","","","","","__hypot_finite"
"0","0.6%","0.6%","","","","","frexp"
"0","0.5%","0.5%","","","","","mfem::Vector::operator=(double)"
"0","0.4%","26.1%","25.7%","","","","void mfem::hydrodynamics::QKernel<3, 4>(int, int, bool, bool, double, double, double, double, mfem::ParGridFunction const&, mfem::Array<double"
"0","0.3%","0.3%","","","","","memcpy"
"0","0.3%","0.3%","","","","","mfem::Vector::SetSubVector(mfem::Array<int"
"0","0.3%","0.3%","","","","","mfem::Vector::Min() const"
"0","0.2%","0.5%","0.3%","","","","mfem::OperatorJacobiSmoother::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.2%","50.1%","49.9%","","","","mfem::PABilinearFormExtension::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.2%","0.2%","","","","","mfem::L2ElementRestriction::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","0.1%","90.6%","90.5%","2.6%","","","mfem::RK4Solver::Step(mfem::Vector&, double&, double&)"
"0","0.1%","0.1%","","0.1%","","","MPI_Allreduce@plt"
"0","0.1%","0.1%","","","","","mfem::SparseMatrix::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.1%","0.1%","","","","","mfem::SparseMatrix::AddMult(mfem::Vector const&, mfem::Vector&, double) const"
"0","0.1%","0.1%","","","","","mfem::D2QValues(mfem::FiniteElementSpace const&, mfem::DofToQuad const*, mfem::Vector const&, mfem::Vector&)"
"0","0.1%","0.1%","","","","","acos@plt"
"0","0.1%","0.1%","","","","","hypot@plt"
"0","0.1%","0.1%","","","","","__kernel_clock_gettime"
"0","0.1%","0.1%","","","","","mfem::L2ElementRestriction::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.1%","0.1%","","0.1%","","","MPI_Finalize"
"0","<0.1%","0.4%","0.4%","","","","<unknown>"
"0","<0.1%","99.6%","99.6%","2.7%","","","main"
"0","<0.1%","8.9%","8.9%","","","","mfem::hydrodynamics::LagrangianHydroOperator::GetTimeStepEstimate(mfem::Vector const&) const"
"0","<0.1%","33.2%","33.2%","","","","mfem::hydrodynamics::QUpdate::UpdateQuadratureData(mfem::Vector const&, mfem::hydrodynamics::QuadratureData&)"
"0","<0.1%","90.5%","90.5%","2.6%","","","mfem::hydrodynamics::LagrangianHydroOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","85.4%","85.4%","2.5%","","","mfem::hydrodynamics::LagrangianHydroOperator::SolveVelocity(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","58.1%","58.1%","2.6%","","","mfem::CGSolver::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","0.3%","0.3%","","","","mfem::Vector::operator=(mfem::Vector const&)"
"0","<0.1%","50.1%","50.1%","","","","mfem::hydrodynamics::MassPAOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","35.1%","35.1%","","","","mfem::MassIntegrator::AddMultPA(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","0.2%","0.2%","","","","mfem::GridFunction::operator=(double)"
"0","<0.1%","0.1%","0.1%","","","","mfem::StopWatch::Stop()"
"0","<0.1%","0.1%","0.1%","","","","clock_gettime"
"0","<0.1%","4.5%","4.5%","","","","mfem::hydrodynamics::ForcePAOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","0.1%","0.1%","","","","mfem::GridFunction::operator=(mfem::Vector const&)"
"0","<0.1%","5.0%","5.0%","0.1%","","","mfem::hydrodynamics::LagrangianHydroOperator::SolveEnergy(mfem::Vector const&, mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","3.1%","3.1%","","","","mfem::hydrodynamics::ForcePAOperator::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
